Dummy_application_id,ever60_24m_StrictFlag,NATURE_OF_ORGANISATION,OCCUPATION_TYPE,Max_dependent,LTV,Doc_form_16,income_max,income_sum,income_min,edu_max,edu_min,age_max,age_min,cnt_coapplicant,REQUESTED_TENURE,PROPERTY_INSURANCE_AMT,Organization_type,SALARIED_SELF,CHANNEL_CODE,City_tier,FOIR2,Loan_sub_type_1,SAL_FLAG,emi_income_max,emi_income_sum
4764687,0,Private Ltd. Co.,SALARIED,4,0.2,0,21600,33723,0,3,1,49,44,2,120.0000,0.0000,3.Private Ltd Co,SALARIED,CROSS SALES,1,35.48913205,Builder UNC,SAL,0.554074074,0.35489132
4765019,0,Private Ltd. Co.,SALARIED,0,0.385240323,0,19800,19800,0,3,3,39,31,1,240.0000,4530.0000,3.Private Ltd Co,SALARIED,UBL Sales,1,,Builder UNC,SAL,0.612373737,0.612373737
4766117,1,Proprietor-Proprietorship Firm (Staff More than 25),TRADING,1,0.9,0,52693.1666,52693.1666,0,4,2,39,31,1,324.0000,5620.0000,3.Private Ltd Co,SELF_EMP,ALTERNATE CHANNELS,1,16.26586625,Resale Ready,NONSAL,0.162658662,0.162658662
4766139,0,Private Ltd. Co.,SALARIED,0,0.713018636,0,22006,43306,21300,4,3,31,28,1,240.0000,0.0000,3.Private Ltd Co,SALARIED,CROSS SALES,1,34.83581952,Resale Ready,SAL,0.685540307,0.348358195
4766153,0,Private Ltd. Co.,SALARIED,3,0.517017308,0,28093,47093,19000,3,3,36,34,1,240.0000,0.0000,3.Private Ltd Co,SALARIED,UBL Sales,1,,Builder UNC,SAL,0.485814972,0.289809526
4766189,0,Public Ltd. Co.,SALARIED,0,0.3261866,0,29040,29040,0,3,3,31,24,1,240.0000,0.0000,4.Public Ltd. Co.,SALARIED,DSA,1,,Self Construction,SAL,0.547555096,0.547555096
4766253,0,Private Ltd. Co.,SALARIED,1,0.310884583,0,15488,15488,0,3,3,42,41,1,233.0000,0.0000,3.Private Ltd Co,SALARIED,DSA,1,46.77169421,Resale Ready,SAL,0.467716942,0.467716942
4767449,0,Private Ltd. Co.,SERV-PRIVATE SECTOR,1,0.72810219,0,18725.6667,35507.6667,16782,3,3,43,35,1,240.0000,0.0000,3.Private Ltd Co,SALARIED,DSA,1,57.99310941,Builder Ready,SAL,1.099667122,0.579931094
4767627,0,Proprietor-Proprietorship Firm (Staff Less than 25),SELF-EMPLOYED,2,0.786467617,0,27304.5,27304.5,0,3,3,45,35,1,240.0000,13350.0000,3.Private Ltd Co,SELF_EMP,DSA,1,60.04504752,Builder UNC,NONSAL,0.600450475,0.600450475
4768345,0,Proprietor-Proprietorship Firm (Staff Less than 25),MANUFACTURING,2,0.515408745,0,21416.5,21416.5,0,3,3,28,21,1,240.0000,0.0000,3.Private Ltd Co,SELF_EMP,CROSS SALES,2,38.68512595,Builder Ready,NONSAL,0.38685126,0.38685126
4768443,0,Private Ltd. Co.,SALARIED,0,0.762146667,0,18020,18020,0,1,1,41,38,1,216.0000,4280.0000,3.Private Ltd Co,SALARIED,CROSS SALES,2,,Resale Ready,SAL,0.59872364,0.59872364
4771637,0,Private Ltd. Co.,SERV-PRIVATE SECTOR,0,0.541968067,0,19981,37229,17248,3,3,28,26,1,120.0000,0.0000,3.Private Ltd Co,SALARIED,UBL Sales,1,59.04805394,Builder Ready,SAL,1.100195185,0.590480539
